Najlepsze,Srednie,Najgorsze
96197.81407158161,68721.40143749387,36714.48139556311
96197.81407158161,73615.9890802634,40622.907379697994
96990.16625292714,75663.72764043503,37023.2231164144
100598.69782085529,77882.20916957787,38492.13275650791
100598.69782085529,79509.66071534657,48536.49146691043
100598.69782085529,82119.17465308688,44083.18256992969
100724.96345589616,85048.85653953708,44776.59764062395
100724.96345589616,89220.90639279361,51056.495775253454
101277.8149541026,94474.24772906069,66929.17297972864
103644.63882804505,98642.18809923981,77253.33763440466
104988.01884111635,100531.96811402922,97715.04321167243
104988.01884111635,101147.06437025713,97914.42355777737
104988.01884111635,101629.87316248285,93736.20856419484
104988.01884111635,102532.94699337559,92537.10624647702
105026.22051755234,104147.90803175882,92537.10624647702
105199.62190162484,104818.70787863566,88405.52024104122
105893.81578923811,104910.22727976907,98927.20216302283
106963.60811561774,104958.91927579427,99986.57631604769
106963.60811561774,105002.10039067376,101262.09103140813
107766.69716032938,105272.34486789223,98605.71108130999
108086.1614536226,105792.53923831123,101679.75942615312
108616.2554283815,106658.09906017905,97918.26871997243
109974.19056340819,107700.42608716349,98257.7608435126
109974.19056340819,108090.59282919928,99988.99896808117
109974.19056340819,108401.77807621243,102151.69773633427
111736.50203518732,109292.06716211807,104432.60514745042
111736.50203518732,109921.87879736941,101936.11588428724
111736.50203518732,109973.66473159706,99016.72866178739
111736.50203518732,110138.82306665268,102368.09545364024
112687.52199077985,110703.52326648726,103789.62492519022
112687.52199077985,111472.69036384729,99734.75948136876
112687.52199077985,111664.19744957202,105380.64529275132
112687.52199077985,111686.85351162156,106085.76392138995
112726.04923907729,111769.25836801069,103525.47491079973
112726.04923907729,112049.64018902961,101736.23310948722
114270.04406068899,112559.71077248374,101419.9787289557
114270.04406068899,112706.29273239308,106871.80549355602
114270.04406068899,112764.02171752774,107899.7451887078
114721.81323927076,112963.6811211323,109804.39419924859
114721.81323927076,113601.11601718017,108301.88708294558
115440.55830210916,114316.33916606886,112025.49257185383
115440.55830210916,114559.60804255494,107088.62103663132
115476.18440225933,114667.73228512182,103719.1630650274
115603.94560664028,114705.6959407754,109558.59703493875
115603.94560664028,114720.05983770695,111336.4671088131
116735.3281886419,114719.73563342782,96099.90147675849
117465.06383825585,114848.64690514328,102196.64373873165
117465.06383825585,115276.04645697078,112007.08389427364
117465.06383825585,115716.9005031818,102063.5250649667
117465.06383825585,116601.27226491588,108981.85634751257
117465.06383825585,117391.5427552011,109756.71776276422
117775.90150021527,117442.71636092878,107429.72995984496
117570.7594915755,117437.9266653384,106150.1960901661
117570.7594915755,117458.23516801358,114123.94125694346
117710.73111730599,117446.68854679288,105340.08540547673
117787.24128744534,117544.33234419156,109915.5168046744
118056.82209003661,117529.87237955484,100439.38262263332
118056.82209003661,117559.62451864524,114731.82103659032
118056.82209003661,117563.90653858255,110605.31300369544
118056.82209003661,117614.4160873807,110065.89845770593
118063.06948198513,117868.01051305326,105943.20861216722
118731.25449250884,118010.0639320451,109486.90252862268
118731.25449250884,118003.84833449597,108547.04144402611
118731.25449250884,117997.613474909,109552.09002052585
118731.25449250884,118047.11181729932,111141.31238360086
118731.25449250884,118353.47867972976,111314.75561572704
118731.25449250884,118682.1616944863,113642.24544550182
118731.25449250884,118691.3761318154,100192.58922973904
118877.42255239801,118708.06484133952,110588.98380683444
118877.42255239801,118716.8920872311,114819.14608302068
118877.42255239801,118721.20339063177,115894.53581673246
118940.80200302199,118707.11054256266,108679.36208045456
118940.80200302199,118756.30909958234,115301.7729318871
119041.95415537184,118784.72534311556,102744.64211515931
119169.58226232,118807.569704823,109854.44430788592
119336.4462954378,118886.96308419472,113958.28964211722
119576.29070266115,118993.81673815745,115539.7583030978
119576.29070266115,118993.15196968408,108678.96007694807
119486.29604493125,119060.76080285017,110713.26396276065
119486.29604493125,119163.81445681385,108371.40305710089
119758.88297192543,119248.72421368829,115562.08560523123
119758.88297192543,119439.74970668164,108807.13966966044
119758.88297192543,119436.27420129025,112372.49273794313
119758.88297192543,119498.79572237725,110704.19400206205
119758.88297192543,119615.03884508654,113426.69971255283
119758.88297192543,119716.94792468936,110637.56762325024
119758.88297192543,119737.52191353955,111616.78641290117
119758.88297192543,119733.57157495125,110188.28645875078
119954.84746026403,119734.77857655704,114036.77758788466
119954.84746026403,119734.3811290986,112578.34439476527
119989.95400376638,119700.61280957091,110195.94050323773
120173.75735215606,119658.1094674317,110685.75249310976
119989.95400376638,119812.53312817281,110539.14385844457
120122.9293587748,119927.5497839493,111437.07002359901
120122.9293587748,119943.9682996155,113882.63001659933
120122.9293587748,119951.00330911107,116001.81439879618
120122.9293587748,119891.54342294688,110884.47924656724
120122.9293587748,119861.89670143827,113910.80913550136
120501.81566255905,119696.43429535933,110806.23485616702
120501.81566255905,119447.98670083038,111398.50311495998
