Najlepsze,Srednie,Najgorsze
-9017.416979487429,-15545.291476290431,-20232.58333844378
-6994.674663831978,-11981.117259564633,-18663.46982722276
-6096.294346116949,-9452.733222237008,-15092.738542948813
-5960.122295043158,-7233.6330347284065,-12400.967847941989
-5215.579879278834,-6923.066135316898,-12416.977160074246
-5215.579879278834,-6292.88297119619,-10769.714975286883
-4636.391093474827,-5874.7108298365165,-9858.876290656961
-4610.049870964991,-5422.996136657844,-9692.782972480774
-4036.3986340498122,-5615.022212971637,-10139.646031127773
-3990.317884903823,-5166.130033685494,-9607.300856589125
-3760.4240099733724,-5150.504823888623,-9856.53610545673
-3646.3986112034763,-3954.642835032657,-8220.57394271683
-2700.4157685717655,-3735.5250689355726,-8867.55677558469
-2557.05382658332,-3652.6935061558665,-7366.895234337331
-1875.036323603581,-2711.4498182491584,-7201.333482690217
-1568.4885597966204,-2562.628819082547,-6250.6815877828885
-1335.9189907686814,-1901.634321333037,-6380.175919373174
-1335.9189907686814,-1860.679510595563,-5977.679944237785
-880.6831189989207,-1578.269458099716,-5630.704793007048
-815.1154013997439,-1363.646914046095,-5309.984663138675
