Najlepsze,Srednie,Najgorsze
-4182274.367125854,-4823979.443153623,-5526572.560620058
-4125334.7012437424,-4749688.379688545,-5426652.943705754
-4200372.402415987,-4714184.409019756,-5429519.960019703
-3979632.33996879,-4689878.365160951,-5295189.3487340445
-3972036.5812897817,-4637128.33989725,-5298470.944387951
-3972036.5812897817,-4607279.279779388,-5240706.551093861
-4125787.2152672634,-4607506.287836224,-5133603.200277594
-4163138.035805703,-4580245.387811964,-5232618.474912875
-4157754.4633290917,-4556730.071100453,-5149919.719812332
-4132939.084191354,-4549984.8536696,-5149948.110918909
-4105914.7926257635,-4535525.480552417,-5199460.448676268
-4020446.4817959573,-4502966.830666603,-5100692.392656422
-4012133.293915048,-4474010.959050353,-5202740.991199519
-4043309.589937276,-4410593.698415346,-5065954.550139568
-4043309.589937276,-4357127.108349575,-5065954.550139568
-4012133.293915048,-4291183.387511338,-5114014.519913114
-3978710.123327735,-4226870.003640973,-5066075.3157786345
-3969373.387910763,-4163471.0201061717,-4678733.363207984
-3967052.5962544717,-4124874.8381693303,-4478483.571134535
-3962669.07196186,-4081103.6002882426,-4406840.137869546
-3962669.07196186,-4037963.3876531688,-4181821.4691157285
-3954662.6018223767,-4002037.702981269,-4133168.1453106804
-3919083.7555850176,-3979815.530307846,-4086028.7306177737
-3916295.060683822,-3968680.164066317,-4077123.260273227
-3907893.88098981,-3960483.1073284764,-3991236.0947140055
-3883546.467424901,-3946260.223371857,-4029586.838687331
-3867284.9576857924,-3923906.027644055,-3978879.4418546977
-3839081.6202355865,-3905790.742314018,-3956002.877623149
-3825099.7160443654,-3889788.8339462196,-3936038.450377563
-3786910.458435881,-3873113.3862251006,-3925144.666460451
-3786910.458435881,-3856375.0351769733,-3914121.707730299
-3766037.639672284,-3839436.870050945,-3909650.9646085594
-3748414.802746066,-3821631.9134918978,-3907226.9660528246
-3741115.2033612076,-3803260.356369578,-3899511.865510508
-3737044.7133906176,-3781445.1688989433,-3892752.4157881145
-3732424.3667372838,-3763816.3217514423,-3861698.39206965
-3714872.3944344185,-3754450.818289804,-3837382.9435697934
-3705158.0025287494,-3747301.1964095,-3860007.148466109
