Najlepsze,Srednie,Najgorsze
-4370294.624436232,-4807819.199472981,-5207416.044592995
-4309050.457961412,-4672373.498061177,-5301387.007867828
-4309050.457961412,-4620606.981844891,-5202971.881368446
-4285086.008671647,-4527132.106289072,-4938568.458336431
-4270712.317318547,-4369906.704808896,-4703606.08003055
-4256743.763813503,-4288115.172343442,-4316438.162595522
-4243849.823601123,-4273341.100609001,-4361343.851680628
-4232025.842109236,-4258134.677686538,-4309000.681450115
-4208438.927490211,-4245412.37712585,-4288343.456798751
-4189351.6012504464,-4231433.556023162,-4327610.0723860515
-4187807.2590716416,-4214362.425923494,-4294274.962667084
-4169246.2011259245,-4195568.769199422,-4252009.835300208
-4162500.7285542814,-4192764.8617449123,-4282308.494429594
-4116070.516792238,-4173433.9137063734,-4256491.578746345
-4105789.571119699,-4150241.6367303077,-4198789.652041138
-4065311.980977019,-4119967.5624115644,-4212012.639647613
-4038755.975061972,-4094540.9398817853,-4125408.0013855025
-4013935.1915328396,-4063040.529268378,-4118041.158524184
-4010970.095536742,-4036084.5438240822,-4169708.2349963626
-3999420.806090901,-4023845.0822280496,-4073551.155096673
-3965561.001748497,-4010408.1832130468,-4058694.792395206
-3950258.9549257383,-3992137.245612072,-4106363.2808162216
-3923807.807518198,-3965393.617878372,-4018625.969817363
-3922044.396375027,-3948794.580267116,-3992071.078765329
-3901379.9565511476,-3937142.3475632947,-4004985.252831911
-3877720.6132074506,-3914196.109980187,-3995785.6440111166
-3870160.855455993,-3890224.0898425006,-3999065.285581672
-3839821.3230665945,-3876904.4451688696,-3931979.203033634
-3836112.973230966,-3868654.1375234793,-3977710.0624864385
-3811305.4518270935,-3852200.8088156567,-3899436.4954368044
-3767036.8992872606,-3834654.0864292025,-3931648.591527475
-3738304.9722432364,-3799307.0876185866,-3902204.5828741263
-3708868.8253739495,-3764258.130200707,-3865247.146197003
-3696265.239450978,-3735720.266128052,-3818308.9042435074
-3678636.4253981486,-3712489.24148722,-3857649.051909345
-3650380.332700362,-3694186.596079561,-3762840.031330254
-3637141.679183798,-3678050.2861097194,-3770743.3708096193
-3627173.7145302813,-3651137.362427471,-3703048.6520920475
-3620912.339881026,-3643749.2257329226,-3705121.189413205
-3594242.199232601,-3630212.22904219,-3688979.2952983123
-3565022.362503914,-3622685.306495786,-3679144.8854678515
-3561040.6208514925,-3596701.6047129594,-3657969.5490916325
-3540490.13045823,-3569880.0482677654,-3606046.418737553
-3519600.7462340766,-3566055.4533771398,-3698271.510854178
-3515252.611941752,-3558606.58087586,-3603724.0836501247
-3509777.476627769,-3546026.19050893,-3665370.4790530736
-3497944.37316404,-3527923.6471228325,-3572758.514092844
-3497944.37316404,-3513728.6193812173,-3546013.088224067
-3493497.2673704275,-3517499.1329497807,-3582020.982338551
-3480342.8257386256,-3507860.8045396865,-3565340.3120402335
-3469172.765286411,-3489240.84527027,-3532778.3421774553
-3456409.167404488,-3484964.5922003766,-3557183.474048114
-3440656.1874712706,-3466290.6489848453,-3513436.403298
-3434129.5592121906,-3454552.6666664626,-3521448.9691515486
-3411333.256707715,-3438914.8122959738,-3471178.7708612615
-3401994.2526365807,-3435594.7861890346,-3508320.2378340308
-3394776.068604815,-3416923.464162716,-3480505.384075675
-3391085.909664142,-3403396.1467941003,-3492347.5272303005
-3370626.5476896204,-3397222.092288006,-3446597.308078811
-3365544.1432681875,-3400878.6875069765,-3480564.202908114
-3340911.006749428,-3397257.068040716,-3489756.471119059
-3340911.006749428,-3396837.577807743,-3494064.9953303756
-3339889.4624531977,-3376294.572569043,-3436911.306185325
-3318896.6223193225,-3348952.834397391,-3436567.5787980002
-3318896.6223193225,-3349611.5682516615,-3391605.2679052143
-3315244.609167926,-3335780.5933217555,-3418011.3738066037
-3305060.621971889,-3321000.220796168,-3431786.9743477916
-3292177.1264789286,-3318217.083916726,-3371738.074497463
-3281662.455121921,-3312111.428558431,-3365368.957745763
-3270145.492597764,-3297415.943168664,-3417210.7411356177
-3258313.0168251786,-3285340.2020934466,-3325800.719860151
-3243583.832424538,-3277423.109960239,-3412863.268477207
-3243583.832424538,-3261747.5525902025,-3300593.0684693544
-3237300.5660304297,-3257011.0198270893,-3358349.4104449986
-3227030.2589614713,-3248280.2282338436,-3321158.158603164
-3227030.2589614713,-3244374.0581647847,-3288379.6566321673
-3215855.626941167,-3237478.8172599785,-3317377.510318688
-3207429.7983193067,-3239279.293672674,-3286607.5842445944
-3186968.563367244,-3231005.8432527278,-3308035.8304520487
-3181293.9419555212,-3215618.8446019203,-3298844.479050259
-3181293.9419555212,-3211317.5217518792,-3290450.8569667693
-3163391.7672835966,-3192260.2032984616,-3279861.478533974
-3156677.7504557595,-3192688.002740504,-3273942.616219566
-3144689.3530446673,-3176018.98902565,-3267280.7556327335
-3142816.6060108114,-3165079.75396072,-3250780.7576397103
-3139621.2825008743,-3169478.6520436876,-3243467.5456596524
-3126484.1939165452,-3179812.9527553516,-3275225.224364878
-3126484.1939165452,-3153094.5536276507,-3224099.9809911433
-3116411.638244643,-3135823.624860421,-3220426.709427349
-3107259.5116108675,-3134874.164740911,-3198173.2527523953
-3099151.094120133,-3145779.6418522685,-3227441.2926261327
-3085512.6309536616,-3116270.50683522,-3198539.4908059416
-3083261.1580908713,-3096679.705478098,-3135046.8870125366
-3076253.8838454387,-3097493.361747098,-3139132.340939416
-3074861.3312586243,-3109117.1451738384,-3251705.954070775
-3066293.304212582,-3103536.356745746,-3172537.5590720563
-3053899.3466035468,-3088663.4793423903,-3130480.895232791
-3066997.798686003,-3087836.1773057524,-3159936.576836404
-3066997.798686003,-3077481.488237211,-3141830.6961026625
-3051195.1336669386,-3081629.2247577608,-3202281.9471465833
