Najlepsze,Srednie,Najgorsze
-4237512.698604468,-4823815.627762441,-5529668.1001525
-4188472.3609866593,-4585148.1593505265,-5358756.088616873
-4131489.3123328313,-4452339.613890861,-5021659.381463672
-3999395.4118363736,-4289479.747355705,-4929657.337447426
-3964443.71728165,-4185852.8151577045,-4892054.921327005
-3955197.1147848116,-4039065.1071359226,-4321104.05828575
-3913657.339582095,-3996216.5686664027,-4120301.0414608247
-3895185.603132773,-3974668.8490234157,-4104082.9861981156
-3813881.7647321397,-3927657.6547314604,-4092721.324118382
-3775661.3682605764,-3892921.6798652625,-4036715.34870581
-3736712.3458399475,-3795198.206539959,-3955724.557472589
-3696931.092882275,-3749271.6689365604,-3875688.1339174393
-3658109.965589086,-3726242.2271549352,-3839888.173026434
-3607791.241108605,-3679403.0964560173,-3824430.737088761
-3559174.927653328,-3635767.5049826223,-3754413.238571482
-3504681.982548653,-3585858.834612814,-3706437.820432868
-3484904.9898644052,-3557831.348603256,-3678098.6986166234
-3465760.852587889,-3533065.533735248,-3677274.050605416
-3439659.4129161797,-3516695.5780607257,-3764615.2617856017
-3418605.353437891,-3477796.886136018,-3633803.816835924
-3392926.436884286,-3439135.080265711,-3603155.782247453
-3337656.327910657,-3407086.1287468276,-3539171.425655013
-3325552.3471804745,-3368480.5918847364,-3479508.5929129897
-3312852.4309328496,-3355333.062662447,-3480283.7463107933
-3287961.352965429,-3329268.0298532792,-3510494.420243315
-3262335.0962607153,-3314457.0908617415,-3434018.7870032373
-3250956.60564085,-3295623.435079651,-3423842.435770465
-3218363.313594395,-3278894.3291975106,-3418827.3866809234
-3187076.7703902395,-3244036.085227027,-3387333.910977312
-3156547.5884905746,-3214996.880017011,-3367836.6307983827
-3097548.0527755115,-3187042.6112476424,-3338735.679765152
-3097548.0527755115,-3157052.574798554,-3323412.0693009784
-3077185.248095029,-3115932.7249199008,-3264859.518718483
-3041539.949944395,-3100203.3636844545,-3229075.9660112043
-3026373.912978457,-3076723.552124505,-3193165.39397193
-3001770.295835367,-3044032.450319671,-3175369.381354746
-2986586.226805622,-3033681.8155785343,-3160719.376386937
-2959981.6768898456,-3015626.2016917453,-3101342.93916698
-2947179.5884147915,-2991015.7835493204,-3106800.5013402654
-2902284.4694601134,-2968719.4175644848,-3121109.4515379826
-2898335.178264404,-2959943.743935479,-3080678.922270092
-2872656.085128435,-2932600.7872136594,-3143705.3162442455
-2861759.356128699,-2907933.1147467224,-3014398.9451634674
-2841783.8282707557,-2875522.4636437055,-2988477.070630298
-2815077.7647854676,-2854616.8036753954,-3023409.969741918
-2797874.476256093,-2836480.8441794906,-2980162.6802808214
-2772616.415886104,-2816740.398622288,-2951031.2029020186
-2744257.9468745557,-2809045.326474446,-2959849.213136917
-2734496.411503602,-2766537.453930636,-2921546.2114010607
-2729662.8692984176,-2753294.409387247,-2884299.892548976
-2712950.975266156,-2760905.7250797474,-2902364.209567763
-2694351.0661776727,-2732983.6136114057,-2891904.215546277
-2680269.3528184,-2718043.2218518173,-2860742.4136185558
-2669282.0433512824,-2697254.8813492497,-2814820.847666246
-2654947.069057175,-2688173.8982687416,-2810801.0710189105
-2639120.661384652,-2676877.532803421,-2808061.1051499625
-2629376.536677943,-2659563.0523471124,-2799627.2786189043
-2603293.1444973466,-2642611.708090963,-2805804.850845211
-2588371.07574198,-2631249.388539051,-2762750.9659282546
-2564441.899252112,-2608788.8962079124,-2746510.708839987
-2553436.6067232164,-2608349.9048219942,-2789257.1549247415
-2537328.464851534,-2570420.4370726338,-2706075.183828042
-2520321.8498235047,-2556535.9487731312,-2698336.8310765536
-2495237.4600589764,-2534741.370998565,-2692287.9620167385
-2481112.0861772294,-2515992.0224945857,-2653318.495627493
-2469011.547929863,-2493620.9970048503,-2619403.3442346556
-2450157.881300231,-2492513.238578632,-2610329.4619653886
-2438076.0451791366,-2470648.9268112173,-2626056.5749168904
-2413581.9209889434,-2448562.503062096,-2550166.3885721555
-2403414.725096639,-2433403.7447532997,-2553062.2486566524
-2389895.2042733566,-2413478.603244301,-2544759.79849091
-2376915.101280887,-2409803.0008569267,-2565248.9611251773
-2370175.046088106,-2394214.990200492,-2541755.9758907906
-2361683.150330759,-2395274.9884352004,-2547298.065910839
-2352193.049316959,-2378307.341140628,-2512300.4135552873
-2342725.9461988094,-2365848.2888026545,-2484090.9473430314
-2332180.2153367377,-2372453.173779419,-2524497.43166032
-2322737.8450235943,-2341232.150438762,-2474813.2497504964
-2311430.2794856555,-2338265.067602294,-2507035.685037898
-2294022.1820751643,-2332461.8438254464,-2488189.078149979
-2286279.285122384,-2323521.638043862,-2476981.392376382
-2272463.469696634,-2322004.2592028775,-2449717.309219377
-2268246.961825392,-2293360.349001833,-2441948.4693151955
-2255781.8133653253,-2277796.9503519037,-2430909.164830397
-2243358.9441200043,-2288929.2463291436,-2428114.354864907
-2234336.5135402316,-2272847.678516222,-2447397.577046831
-2231443.288457804,-2246467.926246608,-2393856.73306046
-2214842.974012433,-2238649.3298440473,-2379759.2060692525
-2208304.31013304,-2240101.629634788,-2425214.9427898475
-2189367.3352308716,-2216081.7031866484,-2361357.8575298716
-2181200.142551808,-2208792.3124018335,-2344813.6344016134
-2169339.4829345574,-2192208.088560454,-2311222.8141485495
-2157196.0140668815,-2178986.332781524,-2328285.8967663846
-2146287.2651178604,-2168844.611515746,-2290776.5499818837
-2140051.979310794,-2167976.236652376,-2310204.29540206
-2134591.9086730513,-2165274.7991405977,-2314382.650663361
-2131149.161079725,-2158143.3601315147,-2315937.03966265
-2120365.9097527326,-2160119.1818826622,-2349118.2006729743
-2113987.443248643,-2161925.6067013675,-2312715.2835628265
-2108516.4253326515,-2153037.6271788236,-2273900.898654651
