Najlepsze,Srednie,Najgorsze
-9390.590412595117,-15565.88890226894,-20959.114289011944
-7042.334205747371,-12009.296676790615,-17717.005753205936
-6099.391850638513,-9729.479697580857,-14586.563595965858
-5060.293983801279,-7209.061304294798,-12987.845134116538
-4852.0011786810355,-5290.19069895189,-10235.154515875696
-4366.991485518087,-5048.945031540998,-9160.561416326407
-3675.757613759306,-4737.6553811709655,-9629.127486540045
-3559.3198054452296,-4208.666759756599,-9717.545044966195
-2907.50632500786,-3851.171560436509,-7601.463053348663
-2377.7057002455876,-3210.909714110364,-6815.437380716718
-2091.730901908337,-2785.0856616918472,-7702.051710313088
-1792.0390411482804,-2395.2559331385783,-6734.6313442449355
-1651.6208916764954,-2347.628883028872,-6771.241717507422
-1447.4178419840136,-1896.2210262763592,-7654.95624448287
-1197.3096702995226,-1879.1559247212012,-6382.293210405711
-844.3381416097036,-1369.8522560595638,-5979.433260594975
-664.8459462515984,-986.0804764220234,-5175.969916604998
-529.650838402662,-859.4262954902197,-4823.891588087139
-391.68725712920605,-677.3879252888504,-4905.251537325141
-240.81107447539034,-606.4371674281832,-4979.304795399166
-240.81107447539034,-623.7612172722767,-4959.214423130892
-22.745513621364807,-642.3086266627956,-5742.319200403923
34.74514530819033,-254.9502467785278,-5316.09443535575
206.48011213524842,-69.17405988647666,-3715.7871021668725
261.3932589948072,-66.69133466640213,-4229.169560557559
354.6720170374956,117.70875169328608,-4055.656759049234
354.6720170374956,113.04404554413212,-4593.556462173659
472.0004407919823,58.718649321311865,-4252.143805231
472.0004407919823,320.0900005932974,-4594.8382880140925
476.2200427398402,91.23224603555278,-4437.026463744645
625.7177000267529,434.945195873642,-3582.972191278095
625.7177000267529,118.95985279751778,-4370.71040154935
762.9889730449377,553.2406512324753,-4262.335896962079
852.756571971755,608.4647459971928,-4229.232021141714
965.0215760295232,738.344368117185,-4719.985537950117
974.4173273146462,831.9992172062443,-4630.217939023296
1150.1900933968009,946.4872480462674,-2509.138384106089
1150.1900933968009,952.5791643968122,-2697.4477785480813
1170.6263554255365,955.8271103231324,-3851.673217348027
1234.4554295433209,1091.00652564129,-3530.2838708839954
1415.7403567224846,882.5260038798235,-5101.823944398824
1415.7403567224846,922.6086358665025,-3815.3192689524294
1502.8079430453308,1045.725065597486,-3143.2933702463924
1502.8079430453308,1386.2438539673121,-4332.201505726596
1502.8079430453308,1191.4537080265945,-3020.1977791267745
1504.920131203582,1490.8781887334715,-3086.9866723895066
1567.4451960278184,1490.881181942863,-3098.317167612957
1664.5906967899155,1482.2208098685155,-3562.7524193769495
1729.227949772403,1544.2304663608097,-3096.2049794547092
1774.4014630918555,1672.5221167571094,-3340.51251000931
