Najlepsze,Srednie,Najgorsze
-4320513.195523518,-4916046.100072611,-5642844.870668174
-4320513.195523518,-4704943.009462031,-5421952.851895789
-4302378.27929324,-4597282.650022647,-5185266.3416134035
-4275710.703606334,-4326700.271844354,-4969895.348852916
-4255621.279699159,-4300513.979211267,-4341250.35328584
-4226741.216683742,-4278045.51810469,-4377723.682219835
-4208228.8069398925,-4252265.328425519,-4348815.94652109
-4185070.297746363,-4222705.585408408,-4287762.944339615
-4169589.792225453,-4212452.311980169,-4330600.682865745
-4156978.5223899274,-4219166.1513698995,-4316476.5311424425
-4156978.5223899274,-4211686.892623987,-4333400.901883723
-4138199.1828985587,-4202534.579510877,-4335870.100664033
-4118684.2869243557,-4183259.934457852,-4292535.732744052
-4096757.3620392014,-4145911.141021517,-4227854.699107498
-4093580.7057394143,-4129079.9330211934,-4214493.256509732
-4051712.5167995095,-4132327.3613915555,-4262353.337512567
-4046446.0076324726,-4111982.5681285583,-4182129.2028076313
-4028165.1815145286,-4080206.220244069,-4166518.556723262
-3995812.984027735,-4052355.670263414,-4157160.5509822895
-3995812.984027735,-4051341.2838183935,-4136971.1180270608
-3995812.984027735,-4036293.1831581565,-4099190.3923309273
-3982304.3240919122,-4034107.4773775083,-4108785.903756312
-3913253.026214282,-3994840.5999153005,-4056319.4295349247
-3913253.026214282,-4003895.9303164817,-4117139.739878294
-3897903.530801388,-3987026.401604561,-4088903.374457116
-3897903.530801388,-3960228.940360852,-4068182.5418448024
-3891397.7377017364,-3937177.6089049466,-4061539.788391098
-3875768.0418323427,-3930671.015955935,-4085243.5791214635
-3829764.733545537,-3926276.5031517837,-4101260.4628000017
-3829764.733545537,-3895772.911190292,-4027869.15161718
-3810966.5021538534,-3884554.414193292,-3974904.9702554247
-3808835.9508919716,-3833494.4740561233,-3947629.26587426
-3785712.9713045834,-3820718.40306094,-3914436.1690732925
-3778246.8322502365,-3809973.413503973,-3882718.723327916
-3728692.6559551144,-3795513.7036326597,-3922743.4893730613
-3728692.6559551144,-3793294.140079289,-3894592.934495765
-3707414.869825701,-3800982.861169193,-3907753.869853388
-3707414.869825701,-3787964.602442579,-3881368.6102888114
-3689640.453049734,-3739395.3320429157,-3876283.051637537
-3678403.214419959,-3723947.5139062293,-3810803.4195129224
-3677932.239458273,-3715735.202894134,-3852667.406271225
-3650396.2601916865,-3704044.836118885,-3883825.5291120852
-3643968.4811532777,-3670069.2678693593,-3698956.9831348304
-3631043.4470458226,-3662800.7550717224,-3769239.8105468485
-3627314.0481341304,-3647886.0729771336,-3714045.2921466255
-3615403.879469201,-3632030.114225286,-3662465.1119855
-3582267.7332476657,-3641729.969141492,-3713448.181048097
-3582267.7332476657,-3637537.842533527,-3763736.180212738
-3582158.503860444,-3616615.7002228214,-3786609.6661507403
-3567413.428854187,-3612392.6283530067,-3760634.414711498
-3547640.5479813926,-3593895.178543576,-3673047.2414452513
-3533175.003849471,-3596278.612411748,-3675572.4576662695
-3497520.581456485,-3568517.0047665066,-3660965.827178488
-3477605.1456432054,-3544472.976346746,-3625734.2794224666
-3465529.456240638,-3556437.707094054,-3643762.040319459
-3465529.456240638,-3539975.134688054,-3626362.9921890018
-3437622.8268450843,-3530436.098278045,-3641986.862971702
-3437622.8268450843,-3506795.8957438,-3625011.460542237
-3430077.922076313,-3447133.674431403,-3508178.116826985
-3419986.218547633,-3440255.5709099947,-3590497.2289473712
-3407996.94334637,-3429482.8924825154,-3471655.870002307
-3407996.94334637,-3431464.2022277284,-3500752.269298187
-3398171.057156397,-3421068.730098973,-3489169.0726163564
-3389087.3531534066,-3427430.375889323,-3495699.304812967
-3386788.787897297,-3414884.7468744796,-3518686.9347766526
-3376262.5165606616,-3397703.479947278,-3474929.771018245
-3330168.400658504,-3394373.5592717356,-3538026.7650610693
-3323551.055358758,-3385729.744853386,-3488913.418978781
-3323551.055358758,-3374944.4369833325,-3502485.8067765967
-3312656.9980783192,-3350845.9519393044,-3462060.0542053212
-3312140.395641485,-3339522.318450371,-3427934.58752848
-3305358.128903087,-3338295.50472345,-3405923.111353568
-3297149.993916698,-3326825.4208067018,-3395346.661344191
-3285118.5078984248,-3328914.0357599,-3467453.8324774294
-3285118.5078984248,-3331153.0872963453,-3428294.043543436
-3281657.8692452703,-3316594.0079535837,-3395659.265397431
-3280945.344295414,-3317328.477605407,-3389934.6350421184
-3261470.9696182944,-3308666.0679758983,-3427240.020808416
