Najlepsze,Srednie,Najgorsze
-9706.98080612667,-15603.805097460405,-20991.86877070138
-6994.825208323873,-11957.374599970095,-17204.125218289908
-6379.749890887339,-9293.334943098771,-14967.05029042497
-5613.132890423178,-7335.402233024414,-12158.359640988652
-5117.502748867217,-6444.4530397584085,-9785.336761691498
-5117.502748867217,-6653.442561458803,-11706.834953412043
-4416.923877912734,-6050.315602250282,-11704.495703684308
-3814.5238117796325,-5020.025914935733,-8946.230143868845
-3728.034771471066,-4664.8394885199905,-9115.16911628368
-3590.8067217466814,-3836.4975850909054,-7940.659346451335
-3353.5254624615045,-3981.1481558344603,-7854.170306142769
-3128.382370992309,-3862.8320076565715,-8011.21919083254
-3031.81681036422,-3992.7257324100033,-8520.472819641913
-2721.490496129307,-3627.5516288674958,-8151.973166822692
-2492.097243018041,-3100.542765211022,-7234.16345401603
-2333.6518164755616,-2789.5024375245775,-7079.6543986149845
-2333.6518164755616,-2840.6559525390494,-6585.867674663663
-1902.1570594411332,-2879.7926512026506,-7845.236706178104
-1876.0202399954542,-2344.540992352039,-6583.534066225278
-1616.6454424003095,-1979.2191580003791,-6080.060145134448
-1560.039409913421,-1940.6591360161558,-6808.640509388424
-1526.2541986366323,-1642.458048165831,-6070.361671959727
-1526.2541986366323,-1609.5929019741927,-7209.631249630293
-1311.6893937447421,-2032.698762038177,-6381.929099336325
-1311.6893937447421,-1628.5294926906615,-5513.628270124616
-1200.8917327499603,-1991.8331373296417,-6686.5022195533165
-1095.3283932114791,-1323.0183400853816,-5951.586700026994
-984.5307322166973,-1227.9324591003344,-5521.735077339192
-679.8372158627553,-1049.2362723202664,-4860.87262911359
-433.2805152189794,-1037.4386434123292,-4359.132369318584
-128.5869988650411,-801.2570244723895,-5307.426666068997
32.3981484287051,-266.72669778994174,-5289.782613079027
71.83373158017457,-148.45634753118,-5349.745163246265
312.8385753139064,33.02294016433551,-3399.8216507936013
469.9566079729666,225.81880941678787,-4039.087962281108
523.6061788591014,285.4222257457425,-3762.7038437718948
632.946943949768,352.43622996036345,-4722.247120654549
675.7306371958748,459.93943465243933,-3144.213907961206
675.7306371958748,336.10664917164166,-4529.661317212085
675.7306371958748,480.2677480860293,-3751.049747671539
706.887870193932,664.4181562342312,-3684.5572950402056
885.540063225666,634.3994964392364,-4545.427527185348
896.3130377112429,377.92238864697754,-3657.4289565375693
950.8274141592556,669.9959314730378,-4134.532529299311
1174.0251598824125,937.5946715537042,-4205.0085627455555
1174.0251598824125,924.1518959602151,-3689.0698921229996
1241.120574597151,1080.8707801796158,-3312.75358126681
1342.9100165084474,1142.160384961329,-3433.298780198158
1499.7897372050138,1204.3187107285594,-3011.58949460051
1631.2906466941404,1467.5129683387527,-2835.036807729248
1631.2906466941404,1485.0110415786296,-3963.5004793205408
1769.136154385431,1603.4682325297847,-2932.7835685118807
1769.136154385431,1582.5041806152235,-2875.7176445527257
1813.3461966826162,1409.6482151410823,-3214.8600545447443
1849.5639912883125,1755.5636943145907,-2738.7332731494134
2017.7364892501555,1771.9834380643092,-4318.565272279018
2068.3923313813193,1540.2234461854464,-2928.3028613083006
2114.454299039571,1672.457847492983,-3051.3416958686576
2117.7718535221156,2039.1352456494515,-2390.4059133959563
2163.159982640138,1770.9848022617564,-2509.8907281997344
2180.687997083678,1887.1828408250333,-2241.920390963038
2180.687997083678,1878.8075943535046,-2982.515762443247
2215.9708266940506,1574.9459568352813,-2008.0737383140986
2215.9708266940506,2096.536938097607,-3283.690706730602
2278.886970255615,1558.464181018834,-5109.7553187551275
2278.886970255615,2172.9822915511163,-1766.8777108661125
2278.886970255615,1666.0835196480177,-2979.8814442561743
2278.886970255615,2266.9595861101684,-2498.979882341002
2293.280190820902,2265.5786437202955,-3184.4032462699433
2293.280190820902,2243.20815760667,-2272.8262148546783
2293.280190820902,2027.5888085742195,-2891.341121276986
2310.7402863726566,2277.970056336526,-2891.341121276986
2310.7402863726566,2252.0510353320733,-2214.589236713946
2310.7402863726566,2041.5382832610771,-2727.435047268267
2373.809307351783,2297.8570374729306,-1878.0349160644073
2373.809307351783,2295.9937758142505,-1894.343899854086
2390.0953005420415,2351.963251811337,-2340.3008183563325
2412.9808478852938,2362.0699149660845,-1572.6453119337948
2437.893428226278,2362.2263437942906,-3259.4965391748483
2437.893428226278,2162.152400244555,-2768.1454546778987
2437.991066172164,1826.2524661943037,-2541.537254887262
2470.9944538613745,2390.137221730822,-2276.2166974818356
2470.9944538613745,1860.8787188659162,-3812.874046684501
2651.6558531052833,2311.89469522795,-2442.716844841547
2651.6558531052833,2450.3982270532806,-2243.115671846739
2651.6558531052833,2375.757208793264,-1496.070474868602
2846.2551821573034,2640.201260845903,-1807.1423916719923
2846.2551821573034,2620.663682810557,-2062.4542726028303
2846.2551821573034,2440.708530214235,-3200.7545255211335
2846.2551821573034,2833.605455110059,-1347.2220266462773
2846.2551821573034,2833.765560302246,-2617.035034368251
2846.2551821573034,2831.8292717992667,-1660.7531090895627
2846.2551821573034,2831.715960736134,-2803.3366575595755
2846.2551821573034,2830.185237935545,-1749.3382784083678
2879.3562077924,2830.3905967220835,-1705.4580029529843
2879.3562077924,2832.2469632536313,-2617.035034368251
2879.3562077924,2864.130700327473,-1898.5106448042116
2879.3562077924,2867.722277443859,-1067.0984114931725
2879.3562077924,2866.1371280137287,-2770.235631924479
2879.3562077924,2866.3665612780883,-1478.2114690703966
