Najlepsze,Srednie,Najgorsze
100511.20950774883,68834.35609842397,22154.217284794708
102358.22656706817,80936.46109497751,27042.713189298054
102624.51720455098,89253.65138488603,44401.15393687396
104135.99038067156,93030.39260311714,53526.861154269165
105731.06730018498,95163.07201430447,60182.616114978184
108624.11505679667,102768.96585414035,71269.70658317041
109671.62293369399,106870.06911839393,91117.049336242
110765.68445509105,108586.19652451975,89504.32151452068
111428.88405294658,109676.91300186038,89073.54251020755
112023.56071616328,110537.68711806407,98961.18765827571
112632.35826781165,110867.61614219587,94266.31159578495
114181.09586067934,111661.67538126848,97279.00996943175
114861.9573567351,112915.87220418917,95676.26575133938
115829.5948513158,114479.93764317434,96057.03293896906
116765.70599295682,114990.76793553712,99652.66811204524
117481.5519398753,116074.61532413686,103388.01111812946
117515.77949041691,116785.17087385645,105570.30617165049
117584.25070037463,116471.89052607893,105317.5864696505
117941.93742227963,115394.68807746217,101274.95523244252
118317.21566900962,116843.2241492213,101811.55503262824
