Najlepsze,Srednie,Najgorsze
-4226575.193750556,-4856842.182897458,-5319779.304162041
-4224285.433732422,-4663354.2294257125,-5038859.304230582
-4223063.66507436,-4528871.042541695,-5193579.506064242
-4209821.10034876,-4273722.3182363855,-4679327.538475586
-4189222.2734736297,-4222518.504536178,-4302545.160904387
-4152241.7769550392,-4200830.273725603,-4243699.617552161
-4110197.889739862,-4170253.2807968054,-4216115.5289237425
-4068819.5557084857,-4139269.920398459,-4182788.836595211
-4033239.5971331624,-4113946.7708392716,-4208354.003815856
-4029259.1048124344,-4072785.3358862693,-4171541.098649105
