Najlepsze,Srednie,Najgorsze
94138.28685566699,68866.54880028806,34059.58752093237
97265.88977468631,73619.22810621043,40608.44853939451
97449.87571032604,77735.0128575408,49606.55782772065
100655.2094312569,80126.96679353852,46284.65846807188
102198.32687940824,82547.69855513507,40893.726570013896
102198.32687940824,85501.39951507587,39319.36771501301
101829.85294310839,87267.49393630908,46358.28988890395
101829.85294310839,88822.3590928246,56353.78579765666
102825.69909885031,91188.42681673882,56353.78579765666
103364.18921476553,95172.9517162877,56353.78579765666
104495.83429711068,100022.63683857248,70034.94765217174
104495.83429711068,101495.91801738992,76346.04845127961
105031.82015642567,101097.36367908299,85496.46232179312
107404.6376393922,101357.63571566825,85496.46232179312
107404.6376393922,103038.03343136859,85496.46232179312
107404.6376393922,104594.71373553446,97966.42329189139
108676.99891492665,105117.34007715344,91501.47369711104
108676.99891492665,106316.48425735053,95356.59426550353
108676.99891492665,107334.0698418007,98440.5148896084
109652.6967815267,107283.62398312616,100592.83322180301
109652.6967815267,107909.88431876613,95132.23439244008
109652.6967815267,108668.28980280705,98026.4706271018
109652.6967815267,108974.94543725521,103182.752806392
109710.89583971741,109160.63434629931,104851.02792455268
110293.6346179086,109556.17126914403,106758.25530111908
110705.18592898402,109645.81103009122,105674.73319263625
112605.73998784291,109606.56479472389,101765.277096795
112605.73998784291,109694.82982467591,102574.1680096268
114100.29370122575,109772.93742581016,96438.70470848892
114100.29370122575,110308.76021644521,102574.1680096268
114252.01190993088,111066.35193744615,102878.60072471962
114252.01190993088,112655.63834998888,103454.39045081937
114298.03952180102,113195.78610759618,105967.8781804135
114298.03952180102,113213.15627322168,106198.9908182318
115021.84431119496,113330.62436625738,105519.16726459394
115021.84431119496,113573.33032258124,99290.984900362
115021.84431119496,114123.20352100144,106644.12342041274
115021.84431119496,114207.86329440303,106787.33301164673
115409.90633124596,114374.49659361428,106787.33301164673
115409.90633124596,114733.26365481444,106278.89972085433
115783.79259612481,114916.59417037465,108076.40629774024
116384.76721001981,115284.98668504311,108445.0732243307
115961.18382567543,115613.9546007045,111344.22943405947
116384.76721001981,115744.10718958087,105668.60779120412
116384.76721001981,115765.63345741118,111448.32293427571
116384.76721001981,115710.76181370238,109414.89347917795
116384.76721001981,115726.36798398946,108444.81579768533
116384.76721001981,116082.77376383309,106260.13202490214
116384.76721001981,116342.0884404733,101173.21138533764
116643.14714433781,116368.97451398725,107847.73696261045
116643.14714433781,116340.62453320598,102366.60381527351
116643.14714433781,116356.01750081824,112568.74609997834
116643.14714433781,116355.45971358746,108356.6637072876
116643.14714433781,116354.69413207566,108482.70685027365
116643.14714433781,116323.82980860975,108699.29289860345
117252.36369395972,116288.85779372463,107180.02120729699
117252.36369395972,116239.04174277214,109142.23747314948
117252.36369395972,116121.95380417357,108610.50501720817
117281.02733885523,115919.46972327051,106496.08787021232
117281.02733885523,115984.06081135831,108523.79276972664
117281.02733885523,115896.20308867433,108523.79276972664
117281.02733885523,115416.0744639721,104787.32766984243
117281.02733885523,114888.64206804994,104787.32766984243
117281.02733885523,114622.51860461374,104632.67241061274
117281.02733885523,113755.88492381753,104787.32766984243
117622.20359532905,112951.41904467536,100007.12673453032
118094.44727728031,114055.30506741448,104787.32766984243
118094.44727728031,117021.36096950796,104787.32766984243
118205.72247710897,117274.35999688132,112819.02923182449
118205.72247710897,117353.3068541763,107629.18337473957
118630.8499667259,117670.21531051879,112942.2713288313
118630.8499667259,118038.07217493502,110138.71712990126
118630.8499667259,118112.5502893715,109783.31840820394
118630.8499667259,117937.66093919838,110275.6172376484
118630.8499667259,117855.4681933767,110340.07291770572
118630.8499667259,117533.39092565785,97312.71801149382
118630.8499667259,117229.41104280656,109760.8568320711
118793.8478363598,116714.13469876339,110340.07291770572
118793.8478363598,116452.3127875495,107265.67778949742
118793.8478363598,116082.74284081731,109218.95242472942
119116.37529719509,116839.00744390515,110819.64572055641
119116.37529719509,116936.88981658539,108698.62582028065
119116.37529719509,117012.21037033726,107381.14297153348
119116.37529719509,118344.44745087255,111055.04113669155
119116.37529719509,118523.74202770524,108158.7822311103
119116.37529719509,118876.3870902089,111737.00520926972
120019.37442771017,119103.84488032041,116231.7406305772
120019.37442771017,119103.00496929289,113862.17832663275
120019.37442771017,119082.91193390187,113196.41517438478
120019.37442771017,119158.96944000336,116340.48649187123
120019.37442771017,119341.81522377972,111580.25687613158
120749.62926446079,119804.76572668448,114742.21739915601
120749.62926446079,119983.51804020785,111580.25687613158
120749.62926446079,120000.31246022457,115556.56117202455
120749.62926446079,119989.13605456485,112249.78917218739
121292.59874618944,120113.20617710456,114420.57968532448
121292.59874618944,120376.22349057205,117320.08565523158
121292.59874618944,120436.74966353807,116427.52401255775
121767.3253164774,120679.61406160236,114437.86693653297
121767.3253164774,121100.03280274937,117635.89165849374
