Najlepsze,Srednie,Najgorsze
-4171339.506985056,-4724629.930422125,-5234430.75476999
-4069628.411885633,-4522451.722257549,-5108527.15934978
-4069628.411885633,-4450351.357487364,-5051280.881169227
-4063196.685341142,-4374430.940388682,-5008659.0768002095
-4037913.3327082973,-4230852.178570045,-5008659.0768002095
-4037913.3327082973,-4089651.2800345584,-4333997.14417287
-3995423.98634061,-4100572.369365145,-4358596.923883363
-3973006.587328395,-4033111.320466952,-4097570.864172546
-3931765.19142728,-3996404.1630453407,-4068771.7596301194
-3931765.19142728,-3969870.660268466,-4030417.3194759144
-3875148.959254396,-3948997.206102864,-3999169.085563228
-3860064.075784084,-3930427.2555390946,-4038763.448151445
-3816993.801466115,-3893979.633040442,-3965041.9648662372
-3728575.9809089303,-3823535.061616096,-3875148.959254396
-3718386.0175869586,-3791022.2928531445,-3839658.486879687
-3703878.9994591363,-3749930.060234019,-3791837.80770866
-3685986.2384714,-3712049.1761650485,-3772520.625495235
-3665268.4351668777,-3697519.121112305,-3748838.6084731123
-3655826.670172427,-3685114.719284906,-3707487.743321814
-3650270.976260878,-3673724.7262954246,-3717914.0387785845
-3640660.039025372,-3658858.049340643,-3726873.285223802
-3627131.6577568175,-3660083.452023007,-3720529.8743786965
-3617081.0018421654,-3653357.7686096425,-3717288.998297948
-3588747.085150456,-3631380.7551184953,-3682801.3611321184
-3588747.085150456,-3614758.3085623323,-3657391.7258193498
-3588747.085150456,-3611204.343592619,-3639973.49747331
-3588266.1500890814,-3606171.827893542,-3661560.760498815
-3585509.8958701584,-3588918.503805839,-3636295.990615903
-3568575.8633135753,-3590681.836894155,-3665548.7569448757
-3568094.9282522015,-3602186.77691837,-3669300.3866877523
-3538636.52097547,-3589041.541919739,-3685733.3221363393
-3538636.52097547,-3570986.585248154,-3628995.294704568
-3530760.2415413875,-3575645.030369767,-3664962.7191574657
-3516005.5285643213,-3571529.299396316,-3689408.3511081166
-3515222.788639721,-3529064.196550398,-3616165.8998290007
-3506370.134134308,-3516124.712770645,-3548280.5200392916
-3506328.933603406,-3515466.5902349944,-3583868.979324813
-3465479.529204164,-3511318.8283021483,-3572610.2396851727
-3456705.608625557,-3502844.4771983093,-3572610.2396851727
-3441336.937088482,-3480187.9540978963,-3564553.2390526584
-3432929.596804067,-3448189.218680468,-3513175.057534898
-3425621.140653641,-3441110.547238815,-3476581.8024769733
-3411654.4391381484,-3438261.497577372,-3498652.377877728
-3410759.69209443,-3427830.8153751804,-3490154.432998903
-3404603.2484479607,-3416794.0989828464,-3438691.0234058197
-3402799.226791481,-3410946.8759870715,-3447018.971868648
-3394873.8256820766,-3411233.863707052,-3427241.962153099
-3393069.804025597,-3406273.9775378997,-3458271.645616437
-3385404.1950035025,-3399630.414700062,-3541759.702101143
-3372235.88677817,-3391406.706523151,-3414228.1420540367
-3372235.88677817,-3384768.408482002,-3407275.7192581864
-3358483.2827798184,-3379531.5318605723,-3417967.7467700094
-3358483.2827798184,-3378449.565993491,-3458810.399162681
-3357926.1260425923,-3380321.011785518,-3456921.966240107
-3320944.3508886867,-3376578.2799653104,-3432765.371632276
-3320390.16131739,-3357685.898586735,-3396807.289365152
-3305799.156882181,-3347006.1955383597,-3424157.4748911834
-3305377.452238248,-3319865.170125108,-3425568.6311952965
-3289371.187744387,-3310703.372190029,-3399995.7907365966
-3276382.145188966,-3305870.5296466346,-3412172.420455111
-3273571.0037306384,-3300353.3656110447,-3412692.445500318
-3273179.3288004287,-3294922.3769379836,-3412692.445500318
-3265226.012799882,-3273772.2925337288,-3284735.549957766
-3261656.5454864404,-3275036.468075691,-3321924.876285293
-3249169.0922766007,-3281048.8742417283,-3377105.132019576
-3249169.0922766007,-3279527.497788429,-3362448.2117291205
-3233468.6900103902,-3254268.211660475,-3308983.959151131
-3229000.307545091,-3247364.685314804,-3272041.0005183103
-3222301.3667054954,-3239718.251112996,-3319573.867370732
-3217778.4163980153,-3224615.052461904,-3264093.401585557
-3216245.7376079424,-3222357.3520902703,-3296957.392084222
-3208785.9403163944,-3221103.6238032556,-3259581.2523458875
-3172489.7481900193,-3218820.5359374946,-3268372.7451928393
-3130431.406373509,-3209520.682358195,-3263957.332170115
-3130431.406373509,-3205216.0200805725,-3249542.1726552234
-3110870.018525915,-3183697.9559744564,-3298537.645286382
-3110870.018525915,-3132057.0109796785,-3274436.765857743
-3107658.2158357482,-3124841.410404494,-3170070.155851689
-3106411.111736116,-3109134.428774926,-3161015.96163856
-3096393.929654955,-3107866.8588054436,-3171956.879516701
-3096393.929654955,-3107024.866018733,-3169444.8293692595
-3092587.832997363,-3102761.5917228786,-3178758.936883689
-3074501.493661783,-3096784.460669064,-3181642.2788434965
-3070695.358168411,-3096772.9595840694,-3156380.9961032914
-3061572.0514626806,-3092498.2586402325,-3186675.3041489534
-3051112.91723018,-3075263.7987014414,-3142888.60835721
-3050245.4749290883,-3062336.1603967533,-3132639.346548219
-3046244.7436381285,-3052591.88297692,-3085639.1159369047
-3043869.5038288017,-3050364.85105945,-3107670.1132654087
-3041742.041506084,-3050106.561182483,-3071726.8237723275
-3031424.3893809435,-3048063.876537695,-3106316.1411407785
-3029746.841314753,-3041708.8437452773,-3116448.790851
-3016118.424671195,-3031416.163697808,-3109522.543165256
-3004758.5898252395,-3029195.9723867197,-3068426.5835279594
-2988956.25303789,-3019236.244391953,-3095217.5038498
-2973414.1018459727,-3007516.453753042,-3072123.3511216114
-2967197.0618270985,-2987030.7181420755,-3023575.74086484
-2967197.0618270985,-2974377.1698894314,-3010190.357206577
-2954906.144403687,-2971733.0735320644,-3073366.5678320453
-2954906.144403687,-2968476.811667298,-3014337.130316905
